Year,Macro Stat,User-friendly Stat Name,Code-friendly Stat Name,Code-friendly Stat Name - Year,URL
2020,Approach the Green,Greens in Regulation Other than Fairway,GIR_pct_not_fwy,GIR_pct_not_fwy_2020,https://www.pgatour.com/content/pgatour/stats/stat.199.y2020.html
2020,Approach the Green,Accuracy from Fairway - Proximity,fwy_prox,fwy_prox_2020,https://www.pgatour.com/content/pgatour/stats/stat.431.y2020.html
2020,Approach the Green,Accuracy from Rough - Proximity,rough_prox,rough_prox_2020,https://www.pgatour.com/content/pgatour/stats/stat.437.y2020.html
2020,Around the Green,Strokes Gained - Around the Green,SG_ATG,SG_ATG_2020,https://www.pgatour.com/content/pgatour/stats/stat.02569.y2020.html
2020,Around the Green,Sand Save Percentage,pct_sand_save,pct_sand_save_2020,https://www.pgatour.com/content/pgatour/stats/stat.111.y2020.html
2020,Around the Green,Scrambling,scrambling,scrambling_2020,https://www.pgatour.com/content/pgatour/stats/stat.130.y2020.html
2020,Putting,Strokes Gained - Putting,SG_putt,SG_putt_2020,https://www.pgatour.com/content/pgatour/stats/stat.02564.y2020.html
2020,Putting,Total Putting,total_put,total_put_2020,https://www.pgatour.com/content/pgatour/stats/stat.02428.y2020.html
2020,Putting,One-putt Percentage,pct_one_putt,pct_one_putt_2020,https://www.pgatour.com/content/pgatour/stats/stat.413.y2020.html
2020,Putting,Three-putt Avoidance,pct_three_putt_avoid,pct_three_putt_avoid_2020,https://www.pgatour.com/content/pgatour/stats/stat.426.y2020.html
2020,Putting,Putting Average,putt_avg,putt_avg_2020,https://www.pgatour.com/content/pgatour/stats/stat.104.y2020.html
2020,Putting,Putts per round,putts_per_rd,putts_per_rd_2020,https://www.pgatour.com/content/pgatour/stats/stat.119.y2020.html
2020,Scoring,Strokes Gained - Total,SG_total,SG_total_2020,https://www.pgatour.com/content/pgatour/stats/stat.02675.y2020.html
2020,Scoring,Scoring Average,scoring_avg,scoring_avg_2020,https://www.pgatour.com/content/pgatour/stats/stat.120.y2020.html
2020,Scoring,Bogey Avoidance,bogey_avoid,bogey_avoid_2020,https://www.pgatour.com/content/pgatour/stats/stat.02414.y2020.html
2020,Scoring,Birdie-to-Bogey Ratio,btb_ratio,btb_ratio_2020,https://www.pgatour.com/content/pgatour/stats/stat.02415.y2020.html
2020,Scoring,Par 3 Performance,p3_perf,p3_perf_2020,https://www.pgatour.com/content/pgatour/stats/stat.171.y2020.html
2020,Scoring,Par 4 Performance,p4_perf,p4_perf_2020,https://www.pgatour.com/content/pgatour/stats/stat.172.y2020.html
2020,Scoring,Par 5 Performance,p5_perf,p5_perf_2020,https://www.pgatour.com/content/pgatour/stats/stat.173.y2020.html
2020,MONEY (TARGET),OFFICIAL MONEY,money,money_2020,https://www.pgatour.com/content/pgatour/stats/stat.109.y2020.html
2019,Off the Tee,Strokes Gained - Off the Tee,SG_off_tee,SG_off_tee_2019,https://www.pgatour.com/content/pgatour/stats/stat.02567.y2019.html
2019,Off the Tee,Strokes Gained - Tee-to-green,SG_tee_green,SG_tee_green_2019,https://www.pgatour.com/content/pgatour/stats/stat.02674.y2019.html
2019,Off the Tee,Driving Distance,driving_dist,driving_dist_2019,https://www.pgatour.com/content/pgatour/stats/stat.101.y2019.html
