PLAYER NAME,SG_off_tee_2021_AVERAGE,SG_tee_green_2021_AVERAGE,driving_dist_2021_AVG.,pct_ydg_tee_2021_AVG (%),driving_320+_2021_%,SG_approach_green_2021_AVERAGE,GIR_pct_2021_%,GOFIR_pct_2021_%,GIR_pct_fwy_2021_%,GIR_pct_not_fwy_2021_%,fwy_prox_2021_AVG,rough_prox_2021_AVG,SG_ATG_2021_AVERAGE,pct_sand_save_2021_%,scrambling_2021_%,SG_putt_2021_AVERAGE,pct_one_putt_2021_%,pct_three_putt_avoid_2021_%,putt_avg_2021_AVG,putts_per_rd_2021_AVG,bogey_avoid_2021_% MAKES BOGEY,btb_ratio_2021_BIRDIE TO BOGEY RATIO,money_2021_MONEY,SG_off_tee_2020_AVERAGE,SG_tee_green_2020_AVERAGE,driving_dist_2020_AVG.,pct_ydg_tee_2020_AVG (%),driving_320+_2020_%,SG_approach_green_2020_AVERAGE,GIR_pct_2020_%,GOFIR_pct_2020_%,GIR_pct_fwy_2020_%,GIR_pct_not_fwy_2020_%,fwy_prox_2020_AVG,rough_prox_2020_AVG,SG_ATG_2020_AVERAGE,pct_sand_save_2020_%,scrambling_2020_%,SG_putt_2020_AVERAGE,pct_one_putt_2020_%,pct_three_putt_avoid_2020_%,putt_avg_2020_AVG,putts_per_rd_2020_AVG,bogey_avoid_2020_% MAKES BOGEY,btb_ratio_2020_BIRDIE TO BOGEY RATIO,money_2020_MONEY,SG_off_tee_2019_AVERAGE,SG_tee_green_2019_AVERAGE,driving_dist_2019_AVG.,pct_ydg_tee_2019_AVG (%),driving_320+_2019_%,SG_approach_green_2019_AVERAGE,GIR_pct_2019_%,GOFIR_pct_2019_%,GIR_pct_fwy_2019_%,GIR_pct_not_fwy_2019_%,fwy_prox_2019_AVG,rough_prox_2019_AVG,SG_ATG_2019_AVERAGE,pct_sand_save_2019_%,scrambling_2019_%,SG_putt_2019_AVERAGE,pct_one_putt_2019_%,pct_three_putt_avoid_2019_%,putt_avg_2019_AVG,putts_per_rd_2019_AVG,bogey_avoid_2019_% MAKES BOGEY,btb_ratio_2019_BIRDIE TO BOGEY RATIO,money_2019_MONEY,SG_off_tee_2018_AVERAGE,SG_tee_green_2018_AVERAGE,driving_dist_2018_AVG.,pct_ydg_tee_2018_AVG (%),driving_320+_2018_%,SG_approach_green_2018_AVERAGE,GIR_pct_2018_%,GOFIR_pct_2018_%,GIR_pct_fwy_2018_%,GIR_pct_not_fwy_2018_%,fwy_prox_2018_AVG,rough_prox_2018_AVG,SG_ATG_2018_AVERAGE,pct_sand_save_2018_%,scrambling_2018_%,SG_putt_2018_AVERAGE,pct_one_putt_2018_%,pct_three_putt_avoid_2018_%,putt_avg_2018_AVG,putts_per_rd_2018_AVG,bogey_avoid_2018_% MAKES BOGEY,btb_ratio_2018_BIRDIE TO BOGEY RATIO,money_2018_MONEY,SG_off_tee_2017_AVERAGE,SG_tee_green_2017_AVERAGE,driving_dist_2017_AVG.,pct_ydg_tee_2017_AVG (%),driving_320+_2017_%,SG_approach_green_2017_AVERAGE,GIR_pct_2017_%,GOFIR_pct_2017_%,GIR_pct_fwy_2017_%,GIR_pct_not_fwy_2017_%,fwy_prox_2017_AVG,rough_prox_2017_AVG,SG_ATG_2017_AVERAGE,pct_sand_save_2017_%,scrambling_2017_%,SG_putt_2017_AVERAGE,pct_one_putt_2017_%,pct_three_putt_avoid_2017_%,putt_avg_2017_AVG,putts_per_rd_2017_AVG,bogey_avoid_2017_% MAKES BOGEY,btb_ratio_2017_BIRDIE TO BOGEY RATIO,money_2017_MONEY
Scott Piercy,.057,.169,292.4,62.86,11.46,.048,65.05,71.32,76.02,56.16,"33' 0""","46' 11""",.055,58.73,64.24,-.407,41.32,3.36,1.762,28.71,15.63,1.31,"$417,786",.263,.043,297.2,63.69,14.66,.134,64.73,71.78,72.92,54.81,"30' 6""","42' 6""",-.355,36.19,57.28,-.213,38.22,1.94,1.770,29.05,16.67,1.17,"$809,871",.270,.485,292.4,62.17,8.97,.147,70.09,73.81,78.31,54.48,"31' 3""","45' 3""",.067,50.37,63.93,.146,39.79,2.65,1.748,28.76,13.24,1.74,"$2,679,915",.209,.859,296.6,62.59,15.13,.553,69.72,75.41,79.46,57.81,"31' 11""","40' 11""",.097,44.96,55.96,-.569,35.76,3.96,1.794,29.86,16.46,1.26,"$1,882,337",.190,.251,295.9,63.14,13.56,.311,66.75,73.47,75.99,52.79,"28' 11""","44' 0""",-.250,37.96,49.88,-.526,36.73,3.65,1.771,29.46,19.82,1.16,"$1,317,452"
Branden Grace,.054,.026,293.4,62.53,11.11,.094,64.71,70.61,79.05,51.80,"31' 10""","44' 10""",-.025,50.59,60.06,-.058,40.12,2.47,1.750,28.63,16.87,1.26,"$967,442",-.181,.405,297.3,64.02,18.92,.501,68.43,74.41,79.00,56.69,"28' 4""","39' 11""",.085,53.13,59.66,-.352,38.62,3.39,1.778,29.41,15.04,1.34,"$354,443",.024,.413,295.1,62.86,11.61,.110,66.09,69.26,77.16,51.23,"31' 4""","48' 5""",.278,50.00,55.18,-.520,36.52,3.59,1.794,29.69,18.30,1.08,"$1,373,185",.163,.463,298.9,63.05,17.31,.174,67.10,70.33,77.07,50.92,"31' 8""","48' 4""",.125,47.46,57.78,.350,38.02,3.30,1.772,29.34,16.41,1.28,"$1,529,289",.180,.518,292.0,62.71,12.73,.173,66.40,71.87,74.32,56.25,"31' 4""","45' 8""",.165,50.51,61.42,-.248,37.48,3.62,1.813,29.49,15.70,1.16,"$1,315,054"
Chez Reavie,.040,.553,280.8,60.66,4.17,.737,67.36,76.78,76.87,53.17,"29' 6""","41' 0""",-.130,45.07,57.80,-.751,35.65,2.89,1.787,29.46,16.44,1.18,"$585,732",-.107,.569,284.4,61.68,3.85,.440,67.24,73.29,74.30,53.99,"29' 9""","43' 0""",.237,56.67,61.01,-.291,37.16,2.24,1.778,28.96,14.65,1.33,"$1,123,769",.254,.762,287.0,61.07,4.38,.625,67.93,72.54,74.51,50.00,"29' 1""","46' 11""",-.117,48.92,59.70,.062,39.98,2.66,1.737,28.73,15.34,1.50,"$3,660,909",.183,.483,286.5,61.41,4.73,.437,68.67,73.15,77.33,54.19,"30' 2""","42' 3""",-.137,43.06,62.27,.192,39.41,2.97,1.767,29.12,14.34,1.47,"$2,700,018",.121,.423,285.2,60.79,3.30,.375,67.31,72.29,75.58,50.13,"29' 11""","43' 8""",-.073,52.29,63.33,.417,39.53,2.16,1.756,28.71,13.74,1.52,"$1,819,206"
Russell Knox,.020,.518,291.1,61.87,8.93,.532,70.24,74.49,82.07,52.88,"30' 9""","45' 7""",-.065,50.68,61.00,-.459,37.10,3.27,1.780,29.55,14.68,1.38,"$805,597",-.145,.380,296.3,63.09,13.49,.449,70.11,74.94,81.93,53.75,"29' 0""","42' 4""",.077,55.43,63.42,-.350,36.86,3.00,1.800,29.49,13.40,1.52,"$519,028",.013,.726,289.2,61.41,6.62,.585,69.06,75.14,77.61,53.22,"30' 2""","40' 0""",.129,59.57,62.09,-.176,37.50,3.16,1.779,29.32,14.20,1.45,"$1,132,825",.059,.471,291.7,61.60,9.30,.263,69.57,73.65,79.20,53.69,"30' 11""","44' 9""",.149,52.21,59.43,-.088,36.23,3.21,1.791,29.70,15.25,1.30,"$1,424,030",.102,.165,288.6,62.40,8.06,.181,66.59,71.19,78.01,46.86,"30' 2""","48' 4""",-.119,37.93,57.48,-.349,37.86,3.89,1.785,29.41,17.78,1.17,"$1,643,924"
Rory Sabbatini,.015,-.251,288.3,61.72,7.84,-.142,65.14,69.77,76.64,52.28,"34' 9""","45' 6""",-.124,51.90,52.19,.298,40.31,3.16,1.726,28.94,19.28,1.21,"$747,466",.005,.086,283.9,61.87,5.17,-.278,65.24,68.44,79.25,49.86,"32' 3""","47' 2""",.359,59.83,60.29,-.015,40.07,3.28,1.778,28.76,16.58,1.26,"$629,885",.300,.667,289.4,61.41,6.45,.103,66.91,72.37,74.65,56.18,"32' 7""","44' 10""",.263,55.56,63.90,.154,41.34,2.63,1.738,28.47,14.04,1.64,"$2,382,298",.217,.299,292.3,62.84,8.99,-.152,67.85,72.59,78.57,54.35,"31' 7""","42' 0""",.234,60.67,61.36,.059,38.70,3.37,1.776,29.07,15.42,1.39,"$1,126,057",.308,.482,291.6,62.86,6.92,.146,67.35,72.96,75.76,52.98,"30' 1""","42' 0""",.028,52.04,58.38,-.357,38.21,3.59,1.769,29.34,16.32,1.35,"$741,617"
Justin Thomas,.013,1.487,301.7,63.30,16.67,1.051,69.44,76.30,84.01,50.41,"28' 8""","51' 1""",.423,56.45,59.74,.356,44.44,2.51,1.667,28.19,14.02,2.08,"$5,539,361",.405,1.741,304.2,65.39,23.28,.997,69.61,75.77,79.96,60.00,"28' 0""","43' 5""",.339,62.50,63.16,-.031,40.99,2.36,1.722,28.62,13.13,1.96,"$7,344,040",.479,1.817,302.2,64.74,18.75,.985,70.68,77.48,84.02,55.06,"28' 7""","42' 11""",.352,52.58,61.32,-.186,40.66,3.01,1.716,28.68,13.73,1.93,"$5,013,084",.408,1.563,311.8,65.50,35.81,.844,68.77,73.86,81.16,56.88,"29' 2""","45' 1""",.311,54.29,62.47,.272,42.55,2.64,1.714,28.33,13.96,1.81,"$8,694,821",.452,1.479,309.7,64.90,32.84,.738,67.16,73.59,78.78,56.81,"28' 9""","42' 9""",.289,48.57,60.39,.332,43.67,2.60,1.694,28.25,14.84,1.72,"$9,921,560"
Cameron Smith,.002,.739,297.6,63.16,17.59,.432,65.53,75.19,79.09,52.85,"32' 1""","48' 3""",.236,65.66,65.07,.606,44.65,1.54,1.689,27.50,14.40,1.81,"$4,258,720",-.245,-.134,299.8,63.80,13.39,.020,64.06,68.38,79.71,51.72,"30' 1""","46' 4""",.091,57.52,59.18,.280,41.93,2.43,1.736,28.48,16.84,1.31,"$2,372,487",-.123,.167,294.2,62.21,16.94,.004,63.66,68.97,74.15,49.17,"30' 5""","46' 7""",.286,58.68,60.74,.157,42.34,2.18,1.756,28.49,16.07,1.30,"$1,504,820",-.148,.104,298.4,63.27,15.71,.034,63.18,67.30,78.08,49.47,"32' 2""","42' 2""",.218,56.52,61.12,.115,41.52,1.92,1.745,28.36,15.95,1.32,"$3,622,607",-.130,.418,292.6,62.17,11.59,.149,63.14,69.33,76.05,50.40,"30' 9""","44' 10""",.399,49.18,58.64,.084,41.80,2.85,1.737,28.52,17.55,1.25,"$2,123,216"
Brian Stuard,-.003,-.172,280.1,59.95,1.56,-.110,65.63,73.84,71.67,56.92,"31' 0""","47' 9""",-.003,36.14,58.84,.063,40.54,2.43,1.741,28.69,16.84,1.27,"$673,770",-.245,.138,281.5,60.65,1.95,.083,65.09,70.23,73.71,45.45,"31' 3""","45' 5""",.300,50.00,62.28,.114,40.95,1.78,1.742,28.41,14.81,1.40,"$1,002,095",-.239,.217,276.6,59.48,1.74,.266,64.89,69.62,72.96,46.44,"30' 10""","42' 6""",.190,52.90,64.31,.176,41.84,2.48,1.749,28.40,14.83,1.40,"$1,320,637",-.227,-.101,278.9,60.14,1.55,.099,67.12,71.21,76.76,45.99,"30' 6""","44' 7""",.026,48.03,59.23,.164,38.83,2.00,1.762,29.11,15.18,1.26,"$1,089,763",-.340,-.333,272.6,59.36,.00,.171,63.35,68.68,70.51,47.56,"30' 8""","44' 8""",-.164,46.43,57.14,-.137,39.66,2.55,1.771,29.00,17.82,1.05,"$588,806"
Adam Hadwin,-.019,.039,294.4,61.62,12.04,-.387,62.35,68.56,73.82,45.80,"33' 9""","53' 5""",.446,52.38,60.66,.325,41.87,3.09,1.751,28.41,16.98,1.24,"$690,770",-.004,.389,294.0,62.89,9.65,.262,68.29,74.18,79.62,48.29,"29' 4""","49' 2""",.130,65.05,58.49,.185,38.89,2.14,1.755,28.91,15.21,1.38,"$1,710,808",.310,.091,291.2,62.38,10.14,.008,67.55,72.76,77.19,51.22,"30' 0""","43' 10""",-.227,55.94,57.62,.252,41.12,3.05,1.734,28.68,16.40,1.39,"$2,039,012",.057,.490,289.4,62.19,3.90,.166,68.04,73.91,79.02,49.53,"33' 9""","45' 6""",.267,47.34,58.59,.106,37.33,2.75,1.783,29.26,15.61,1.30,"$1,932,488",.003,.143,291.3,61.61,11.11,.183,65.08,70.59,74.73,51.45,"31' 2""","44' 11""",-.044,61.45,62.82,.409,42.52,2.78,1.753,28.56,15.19,1.37,"$3,455,012"
Nick Taylor,-.020,-.251,294.3,62.90,11.61,-.142,65.28,73.02,77.13,47.93,"33' 11""","47' 1""",-.149,53.85,62.00,-.042,40.77,3.08,1.754,28.66,15.97,1.35,"$521,578",.094,.116,296.6,63.09,12.71,.052,66.95,70.89,80.94,45.08,"31' 10""","47' 1""",-.030,46.34,56.98,-.043,38.79,2.35,1.757,29.07,15.91,1.30,"$1,897,539",.135,.122,292.1,62.61,9.14,-.051,67.26,72.22,79.63,53.72,"33' 5""","41' 5""",.038,46.79,60.77,.330,40.74,2.51,1.748,28.84,14.87,1.45,"$892,663",.049,.077,292.7,62.42,6.71,.011,67.65,73.12,79.63,53.36,"31' 9""","48' 6""",.017,55.56,61.83,-.312,37.78,3.40,1.797,29.48,15.31,1.27,"$899,373",.168,.342,291.6,62.39,8.95,.053,66.14,72.22,73.68,55.31,"33' 1""","44' 10""",.121,47.71,61.83,-.191,38.13,3.68,1.796,29.38,15.91,1.22,"$1,255,259"
